id,campus,sector,,lat,lon,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
id49,Cleveland State University,University Main Campuses,,41.5024973,-81.6747185,15440,16509,17387,17450,17528,17734,17200,17166,16966,16702
id50,Kent State University,University Main Campuses,,41.1490629,-81.3414649,23174,25351,26841,28069,28838,29195,29702,30266,30375,29198
id51,Miami University,University Main Campuses,,39.5105334,-84.7308768,16815,16767,18243,17926,18107,18513,18919,19262,19885,19830
id52,Northeast Ohio Medical University,University Main Campuses,,41.1031524,-81.245589,623,696,771,771,789,836,896,918,961,942
id53,Ohio State University,University Main Campuses,,40.0141905,-83.0309143,54552,55688,57361,57859,57614,58412,59150,59565,60814,61581
id54,Ohio University,University Main Campuses,,39.324358,-82.1013889,21364,22641,25085,26204,27409,28804,29249,29734,30270,29990
id55,Shawnee State University,University Main Campuses,,38.7308641,-82.9920968,3988,4326,4554,4684,4620,4320,4230,3899,3766,3602
id56,University of Akron,University Main Campuses,,41.076655,-81.5113386,24723,26396,27719,27999,26932,25577,24569,23516,21537,20619
id57,University of Cincinnati,University Main Campuses,,39.1329219,-84.5149504,29570,31302,32626,33821,34308,35851,37071,37306,37755,38225
id58,University of Toledo,University Main Campuses,,41.6580307,-83.6140701,22252,23119,23144,22683,21668,20820,20608,20370,20579,20494
id59,Wright State University,University Main Campuses,,39.7846157,-84.0583281,16626,17593,18354,18214,16668,16445,16534,16762,16480,15847
id60,Youngstown State University,University Main Campuses,,41.10626,-80.6477,13684,14650,15101,14497,13769,13363,12513,12436,12663,12626
